National,Pokemon,HP,Att,Def,SpA,SpD,Spe,PPs,Type 1,Type 2,Altura,Height,Peso,Weight,Min. Level,Evolv,Description,Descripción,Ab 1,Ab 2,H Ab,% Male,Tm moves,Lvl 1 (1-14),Lvl 2 (15-20),Lvl 3 (21 - 23),Lvl 4 (24 - 27),Lvl 5 (28-31),Lvl 6 (32 - 35),Lvl 7 (36 - 39),Lvl 8 (40 - 41),Lvl 9 (42 - 50),Lvl 10 (51 -
526,Gigalith,85,135,130,60,70,25,25,Rock,,Mediano,Medium,Pesado,Heavyweight,7,lvl,The solar rays it absorbs are processed in its energy core and fired as a ball of light.,"Absorbe los rayos solares, procesa esa energía en su núcleo y lanza poderosas bolas de luz a sus enemigos.",Sturdy,Sturdy,Sand Force,50%,"Toxic, Hidden Power, Hyper Beam, Protect, Frustration, SolarBeam, Smack Down, Earthquake, Return, Double Team, Sandstorm, Rock Tomb, Facade, Rest, Attract, Round, Explosion, Giga Impact, Rock Polish, Stone Edge, Bulldoze, Rock Slide, Swagger, Substitute, Flash Cannon, Rock Smash, Strength","Tackle, Harden, Sand-Attack, Headbutt, Rock Blast","Mud-Slap, Iron Defense",Smack Down,Power Gem,Rock Slide,,Stealth Rock,,"Sandstorm, Stone Edge",Explosion
527,Woobat,55,45,43,55,43,72,25,Psychic,Flying,Diminuto,Tiny,Peso pluma,Featherweight,2,,The heart-shaped mark left on a body after a Woobat has been attached to it is said to bring good fortune.,Se dice que da buena suerte que un Woobat te deje una marca con forma de corazón.,Unaware,Klutz,Simple,50%,"Psyshock, Calm Mind, Toxic, Hidden Power, Taunt, Light Screen, Protect, Rain Dance, Telekinesis, Safeguard, Frustration, Return, Psychic, Shadow Ball, Double Team, Reflect, Aerial Ace, Torment, Facade, Rest, Attract, Thief, Round, Energy Ball, Charge Beam, Acrobatics, Embargo, Flash, Thunder Wave, Gyro Ball, Psych Up, Dream Eater, Swagger, Pluck, U-turn, Substitute, Trick Room, Fly","Confusion, Odor Sleuth, Gust, Assurance","Heart Stamp, Imprison",Air Cutter,Attract,"Amnesia, Calm Mind",Air Slash,Future Sight,Psychic,Endeavor,
528,Swoobat,67,57,55,77,55,114,25,Psychic,Flying,Pequeño,Small,Ligero,Lightweight,6,lov,It shakes its tail vigorously when it emits ultrasonic waves strong enough to reduce concrete to rubble.,"Cuando emite ondas ultrasónicas, que incluso pueden reventar el cemento, agita su cola con vehemencia.",Unaware,Klutz,Simple,50%,"Psyshock, Calm Mind, Toxic, Hidden Power, Taunt, Hyper Beam, Light Screen, Protect, Rain Dance, Telekinesis, Safeguard, Frustration, Return, Psychic, Shadow Ball, Double Team, Reflect, Aerial Ace, Torment, Facade, Rest, Attract, Thief, Round, Energy Ball, Charge Beam, Acrobatics, Embargo, Giga Impact, Flash, Thunder Wave, Gyro Ball, Psych Up, Dream Eater, Swagger, Pluck, U-turn, Substitute, Trick Room, Fly","Confusion, Odor Sleuth, Gust, Assurance","Heart Stamp, Imprison",Air Cutter,Attract,"Amnesia, Calm Mind",Air Slash,Future Sight,Psychic,Endeavor,
529,Drilbur,60,85,40,30,45,68,25,Ground,,Diminuto,Tiny,Ligero,Lightweight,2,,"By spinning its body, it can dig straight through the ground at a speed of 30 mph.","Puede girar su cuerpo a una velocidad de 50 km/h y, si la mantiene, puede perforar el suelo y atravesarlo.",Sand Rush,Sand Force,Mold Breaker,50%,"Hone Claws, Toxic, Hidden Power, Protect, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Sludge Bomb, Sandstorm, Rock Tomb, Aerial Ace, Facade, Rest, Attract, Round, Fling, Shadow Claw, Swords Dance, Bulldoze, Rock Slide, X-Scissor, Poison Jab, Swagger, Substitute, Rock Smash, Cut, Strength","Scratch, Mud Sport, Rapid Spin, Mud-Slap, Fury Swipes","Metal Claw, Dig",Hone Claws,Slash,Rock Slide,Earthquake,Swords Dance,Sandstorm,"Drill Run, Fissure",
530,Excadrill,110,135,60,50,65,88,25,Ground,Steel,Pequeño,Small,Ligero,Lightweight,5,lvl,"Forming a drill with its steel claws and head, it can bore through a steel plate, no matter how thick it is.",Coloca sus garras y su cabeza de manera que se convierten en un taladro. Puede incluso taladrar una plancha de acero.,Sand Rush,Sand Force,Mold Breaker,50%,"Hone Claws, Toxic, Hidden Power, Hyper Beam, Protect, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Sludge Bomb, Sandstorm, Rock Tomb, Aerial Ace, Facade, Rest, Attract, Round, Focus Blast, Fling, Shadow Claw, Giga Impact, Swords Dance, Bulldoze, Rock Slide, X-Scissor, Poison Jab, Swagger, Substitute, Rock Smash, Cut, Strength","Scratch, Mud Sport, Rapid Spin, Mud-Slap, Fury Swipes","Metal Claw, Dig",Hone Claws,Slash,"Rock Slide, Horn Drill",,Earthquake,,"Sword Dance, Sandstorm","Drill Run, Fissure"
531,Audino,103,60,86,60,86,50,25,Normal,,Mediano,Medium,Ligero,Lightweight,3,,"Using the feelers on its ears, it can tell how someone is feeling or when an egg might hatch.","Con las antenas de sus oídos, perciben el estado de un rival o predicen cuándo va a eclosionar un Huevo Pokémon.",Healer,Regenerator,Klutz,50%,"Psyshock, Calm Mind, Toxic, Hidden Power, Sunny Day, Ice Beam, Blizzard, Hyper Beam, Light Screen, Protect, Rain Dance, Telekinesis, Safeguard, Frustration, SolarBeam, Thunderbolt, Thunder, Return, Dig, Psychic, Shadow Ball, Double Team, Reflect, Flamethrower, Fire Blast, Facade, Rest, Attract, Round, Echoed Voice, Fling, Charge Beam, Incinerate, Retaliate, Flash, Thunder Wave, Psych Up, Work Up, Dream Eater, Grass Knot, Swagger, Substitute, Trick Room, Wild Charge, Surf","Pound, Growl, Helping Hand, Refresh, Double Slap","Attract, Secret Power",,Entrainment,Take Down,Heal Pulse,,After You,"Simple Beam, Double-Edge",Last Resort
532,Timburr,75,80,55,25,35,35,25,Fighting,,Pequeño,Small,Ligero,Lightweight,2,,"Always carrying squared logs, they help out with construction. As they grow, they carry bigger logs.",Siempre lleva una viga de madera y ayuda en las construcciones. Se busca una viga más grande cuando se hace más fuerte.,Guts,Sheer Force,Iron Fist,70%,"Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Smack Down, Return, Dig, Brick Break, Double Team, Rock Tomb, Facade, Rest, Attract, Low Sweep, Round, Focus Blast, Fling, Payback, Retaliate, Stone Edge, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Strength","Pound, Leer, Focus Energy, Bide, Low Kick","Rock Throw, Wake-Up Slap",,Chip Away,"Bulk Up, Rock Slide",DynamicPunch,Scary Face,Hammer Arm,"Stone Edge, Focus Punch, Superpower",
533,Gurdurr,85,105,85,40,50,40,25,Fighting,,Mediano,Medium,Ligero,Lightweight,4,lvl,"With strengthened bodies, they skillfully wield steel beams to take down buildings.","Gracias a su entrenada musculatura, puede blandir vigas de acero sin problema para así derribar edificios enteros.",Guts,Sheer Force,Iron Fist,70%,"Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Smack Down, Return, Dig, Brick Break, Double Team, Rock Tomb, Facade, Rest, Attract, Low Sweep, Round, Focus Blast, Fling, Payback, Retaliate, Stone Edge, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Strength","Pound, Leer, Focus Energy, Bide, Low Kick","Rock Throw, Wake-Up Slap",,Chip Away,Bulk Up,Rock Slide,DynamicPunch,Scary Face,"Hammer Arm, Stone Edge","Focus Punch, Superpower"
534,Conkeldurr,105,140,95,55,65,45,25,Fighting,,Mediano,Medium,Intermedio,Middleweight,7,lvl,"Rather than rely on force, they master moves that utilize the centrifugal force of spinning concrete.","En vez de hacer uso de la fuerza bruta, blande columnas de hormigón con la energía centrífuga de sus movimientos.",Guts,Sheer Force,Iron Fist,70%,"Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Rain Dance, Frustration, Smack Down, Earthquake, Return, Dig, Brick Break, Double Team, Rock Tomb, Facade, Rest, Attract, Low Sweep, Round, Focus Blast, Fling, Payback, Retaliate, Giga Impact, Stone Edge, Bulldoze, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Strength","Pound, Leer, Focus Energy, Bide, Low Kick","Rock Throw, Wake-Up Slap",,Chip Away,Bulk Up,Rock Slide,DynamicPunch,Scary Face,"Hammer Arm, Stone Edge","Focus Punch, Superpower"
535,Tympole,50,50,40,50,40,64,25,Water,,Pequeño,Small,Peso pluma,Featherweight,2,,"By vibrating its cheeks, it emits sound waves imperceptible to humans and warns others of danger.",Emite sonidos imperceptibles para los humanos con la vibración de sus mejillas y advierte de algún peligro a los suyos.,Swift Swim,Hydration,Water Absorb,50%,"Toxic, Hail, Hidden Power, Protect, Rain Dance, Frustration, Return, Double Team, Sludge Wave, Sludge Bomb, Facade, Rest, Attract, Round, Echoed Voice, Scald, Swagger, Substitute, Surf","Bubble, Growl, Supersonic, Round, BubbleBeam","Mud Shot, Aqua Ring",Uproar,Muddy Water,Rain Dance,Flail,Echoed Voice,,"Hydro Pump, Hyper Voice",
536,Palpitoad,75,65,55,65,55,69,25,Water,Ground,Pequeño,Small,Ligero,Lightweight,4,lvl,"It lives in the water and on land. It uses its long, sticky tongue to immobilize its opponents.","Vive tanto en tierra como en el fondo del mar. Con su larga y viscosa lengua, inmoviliza a sus contrincantes.",Swift Swim,Hydration,Water Absorb,50%,"Toxic, Hail, Hidden Power, Protect, Rain Dance, Frustration, Return, Double Team, Sludge Wave, Sludge Bomb, Facade, Rest, Attract, Round, Echoed Voice, Scald, Bulldoze, Swagger, Substitute, Rock Smash, Surf","Bubble, Growl, Supersonic, Round, BubbleBeam","Mud Shot, Aqua Ring",Uproar,,Muddy Water,Rain Dance,Flail,,"Echoed Voice, Hydro Pump",Hyper Voice
537,Seismitoad,105,85,75,85,75,74,25,Water,Ground,Mediano,Medium,Intermedio,Middleweight,7,lvl,"By putting power into its bumps, it creates vibrations and increases the power of its punches.",Reúne energía en sus bultos y crea vibraciones para propinar puñetazos más poderosos.,Swift Swim,Poison Touch,Water Absorb,50%,"Toxic, Hail, Venoshock, Hidden Power, Hyper Beam, Protect, Rain Dance, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Sludge Wave, Sludge Bomb, Rock Tomb, Facade, Rest, Attract, Round, Echoed Voice, Focus Blast, Scald, Fling, Payback, Giga Impact, Bulldoze, Rock Slide, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Surf, Strength","Bubble, Growl, Supersonic, Round, BubbleBeam","Mud Shot, Aqua Ring",Uproar,,Muddy Water,Rain Dance,"Acid, Flail",,"Drain Punch, Echoed Voice","Hydro Pump, Hyper Voice"
538,Throh,120,100,85,30,85,45,25,Fighting,,Mediano,Medium,Intermedio,Middleweight,5,,"When it encounters a foe bigger than itself, it wants to throw it. It changes belts as it gets stronger.","Si se topa con un rival más fuerte, ansía lanzarlo por los aires. Al hacerse más fuerte, cambia su cinturón.",Guts,Inner Focus,Mold Breaker,90%,"Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Rock Tomb, Facade, Rest, Attract, Low Sweep, Round, Focus Blast, Fling, Payback, Retaliate, Giga Impact, Stone Edge, Bulldoze, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Strength","Bind, Leer, Bide, Focus Energy, Seismic Toss",Vital Throw,Revenge,Storm Throw,Body Slam,Bulk Up,Circle Throw,Endure,"Wide Guard, Superpower",Reversal
539,Sawk,75,125,75,30,75,85,25,Fighting,,Mediano,Medium,Intermedio,Middleweight,5,,"Desiring the strongest karate chop, they seclude themselves in mountains and train without sleeping.","Para lograr dominar las técnicas de kárate más letales, se retiran a las montañas y entrenan día y noche.",Sturdy,Inner Focus,Mold Breaker,90%,"Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Protect, Rain Dance, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Rock Tomb, Facade, Rest, Attract, Low Sweep, Round, Focus Blast, Fling, Payback, Retaliate, Giga Impact, Stone Edge, Bulldoze, Rock Slide, Work Up, Poison Jab, Grass Knot, Swagger, Substitute, Rock Smash, Strength","Rock Smash, Leer, Bide, Focus Energy, Double Kick",Low Speed,Counter,Karate Chop,Brick Break,Bulk Up,Retaliate,Endure,"Quick Guard, Close Combat",Reversal
540,Sewaddle,45,53,70,40,60,42,25,Bug,Grass,Diminuto,Tiny,Peso pluma,Featherweight,1,,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.","Sus hojas se usan como material para fabricar ropa, por lo que los diseñadores más famosos los tienen como mascota.",Swarm,Chlorophyll,Overcoat,50%,"Calm Mind, Toxic, Hidden Power, Sunny Day, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Facade, Rest, Attract, Round, Energy Ball, Payback, Flash, Struggle Bug, Dream Eater, Grass Knot, Swagger, Substitute, Cut","Tackle, String Shot, Bug Bite",Razor Leaf,Struggle Bug,,Endure,,Bug Buzz,,Flail,
541,Swadloon,55,63,90,50,80,42,25,Bug,Grass,Pequeño,Small,Ligero,Lightweight,3,lvl,"Preferring dark, damp places, it spends the entire day eating fallen leaves that lie around it.",Le gustan los lugares lóbregos y húmedos. Se pasa todo el día comiendo las hojas esparcidas por el suelo.,Leaf Guard,Chlorophyll,Overcoat,50%,"Calm Mind, Toxic, Hidden Power, Sunny Day, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Facade, Rest, Attract, Round, Energy Ball, Payback, Flash, Struggle Bug, Dream Eater, Grass Knot, Swagger, Substitute, Cut","GrassWhistle, Tackle, String Shot, Bug Bite, Razor Leaf",Protect,,,,,,,,
542,Leavanny,75,103,80,70,70,92,25,Bug,Grass,Mediano,Medium,Ligero,Lightweight,6,lov,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.","Si se encuentra con un Pokémon joven, segrega por la boca hilos pegadizos con los que le teje una prenda de ropa.",Swarm,Chlorophyll,Overcoat,50%,"Hone Claws, Calm Mind, Toxic, Hidden Power, Sunny Day, Hyper Beam, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Reflect, Aerial Ace, Facade, Rest, Attract, Round, Energy Ball, False Swipe, Shadow Claw, Payback, Retaliate, Giga Impact, Flash, Swords Dance, Struggle Bug, X-Scissor, Poison Jab, Dream Eater, Grass Knot, Swagger, Substitute, Cut","Flase Swipe, Tackle, String Shot, Bug Bite, Razor Leaf, Bug Bite",Razor Leaf,Struggle Bug,,Slash,Helping Hand,"Leaf Blade, X-Scissor",,"Entrainment, Swords Dance, Leaf Storm",
543,Venipede,30,45,59,30,39,57,25,Bug,Poison,Diminuto,Tiny,Ligero,Lightweight,1,,"Using the feelers on its head and tail, it picks up vibrations in the air to determine its prey's location and state.","Percibe cambios en el aire mediante las antenas de su cola y de su cabeza, y así descubre la ubicación y estado del rival.",Poison Point,Swarm,Quick Feet,50%,"Toxic, Venoshock, Hidden Power, Sunny Day, Protect, Frustration, SolarBeam, Return, Double Team, Sludge Bomb, Facade, Rest, Attract, Round, Payback, Gyro Ball, Struggle Bug, Poison Jab, Swagger, Substitute, Rock Smash","Defense Curl, Rollout, Poison Sting, Screech, Pursuit","Protect, Poison Tail",Bug Bite,Venoshock,Agility,Stearmroller,Toxic,Rock Climb,Double-Edge,
544,Whirlipede,40,55,99,40,79,47,25,Bug,Poison,Mediano,Medium,Intermedio,Middleweight,3,lvl,"Storing energy for evolution, it sits. But, when predators approach, it moves to stab them with poison spikes.","Permanece quieto y acumula energía para su evolución, pero, si un rival se acerca, se mueve y ataca con púas venenosas.",Poison Point,Swarm,Quick Feet,50%,"Toxic, Venoshock, Hidden Power, Sunny Day, Protect, Frustration, SolarBeam, Return, Double Team, Sludge Bomb, Facade, Rest, Attract, Round, Payback, Gyro Ball, Struggle Bug, Poison Jab, Swagger, Substitute, Rock Smash","Defense Curl, Rollout, Poison Sting, Screech, Pursuit","Protect, Poison Tail","Iron Defense, Bug Bite",,Venoshock,Agility,Stearmroller,Toxic,"Rock Climb, Double-Edge",
545,Scolipede,60,90,89,55,69,112,25,Bug,Poison,Grande,Big,Pesado,Heavyweight,5,lvl,It clasps its prey with the claws on its neck until it stops moving. Then it finishes it off with deadly poison.,Atenaza a sus presas con las garras que sobresalen de su cuello hasta que no se pueden mover y las remata con veneno.,Poison Point,Swarm,Quick Feet,50%,"Toxic, Venoshock, Hidden Power, Sunny Day, Hyper Beam, Protect, Frustration, SolarBeam, Earthquake, Return, Dig, Double Team, Sludge Bomb, Rock Tomb, Facade, Rest, Attract, Round, Payback, Giga Impact, Gyro Ball, Swords Dance, Struggle Bug, Bulldoze, Rock Slide, X-Scissor, Poison Jab, Swagger, Substitute, Rock Smash, Cut, Strength","Defense Curl, Rollout, Poison Sting, Screech, Pursuit","Protect, Poison Tail",Bug Bite,,"Venoshock, Baton Pass",Agility,Stearmroller,,"Toxic, Rock Climb",Double-Edge
546,Cottonee,40,27,60,37,50,66,25,Grass,,Diminuto,Tiny,Peso pluma,Featherweight,2,,"Perhaps because they feel more at ease in a group, they stick to others they find. They end up looking like a cloud.","Quizá por el hecho de que se relajan al estar con los suyos, forman un grupo al encontrar amigos y parecen nubes.",Prankster,Infiltrator,Chlorophyll,50%,"Toxic, Hidden Power, Sunny Day, Taunt, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Facade, Rest, Attract, Round, Energy Ball, Flash, Dream Eater, Grass Knot, Swagger, Substitute","Absorb, Growth, Leech Seed, Stun Spore, Mega Drain","Cotton Spore, Razor Leaf",PoisonPowder,Giga Drain,"Charm, Helping Hand",Energy Ball,Cotton Guard,Sunny Day,"Endeavor, SolarBeam",
547,Whimsicott,60,67,85,77,75,116,25,Grass,,Pequeño,Small,Ligero,Lightweight,5,stn,"They appear along with whirlwinds. They pull pranks, such as moving furniture and leaving balls of cotton in homes.",Aparecen en medio de un torbellino y entran en las casas para descolocar los muebles o esparcir algodón por doquier.,Prankster,Infiltrator,Chlorophyll,50%,"Toxic, Hidden Power, Sunny Day, Taunt, Hyper Beam, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Psychic, Shadow Ball, Double Team, Facade, Rest, Attract, Thief, Round, Energy Ball, Fling, Giga Impact, Flash, Dream Eater, Grass Knot, Swagger, U-turn, Substitute, Trick Room","Growth, Leech Seed, Mega Drain, Cotton Spore, Gust",,,,Tailwind,,,,Hurricane,
548,Petilil,45,35,50,70,50,30,25,Grass,,Pequeño,Small,Ligero,Lightweight,2,,The leaves on its head grow right back even if they fall out. These bitter leaves refresh those who eat them.,"Las hojas de su cabeza vuelven a crecer rápidamente aunque se caigan. A pesar de ser amargas, restablecen la vitalidad.",Chlorophyll,Own Tempo,Leaf Guard,10%,"Toxic, Hidden Power, Sunny Day, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Facade, Rest, Attract, Round, Energy Ball, Flash, Dream Eater, Grass Knot, Swagger, Substitute, Cut","Absorb, Growth, Leech Seed, Sleep Powder, Mega Drain","Synthesis, Magical Leaf",Stun Spore,Giga Drain,"Aromatherapy, Helping Hand",Energy Ball,Entrainment,Sunny Day,"After You, Leaf Storm",
549,Lilligant,70,60,75,110,75,90,25,Grass,,Mediano,Medium,Ligero,Lightweight,5,stn,"The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult.","El aroma que despide la flor de su tocado tiene efectos tranquilizantes, pero este Pokémon requiere muchos cuidados.",Chlorophyll,Own Tempo,Leaf Guard,10%,"Toxic, Hidden Power, Sunny Day, Hyper Beam, Light Screen, Protect, Safeguard, Frustration, SolarBeam, Return, Double Team, Facade, Rest, Attract, Round, Energy Ball, Giga Impact, Flash, Swords Dance, Dream Eater, Grass Knot, Swagger, Substitute, Cut","Growth, Leech Seed, Mega Drain, Synthesis, Teeter Dance",,,,Quiver Dance,,,,Petal Dance,
550,Basculin,70,92,65,80,55,98,25,Water,,Pequeño,Small,Ligero,Lightweight,1,,Red- and blue-striped Basculin are very violent and always fighting. They are also remarkably tasty.,"Los de color azul y los de color rojo siempre se pelean. Son muy violentos, pero su sabor es excepcional.",Reckless,Adaptability,Mold Breaker,50%,"Toxic, Hail, Hidden Power, Taunt, Ice Beam, Protect, Rain Dance, Frustration, Return, Double Team, Facade, Rest, Attract, Round, Scald, Swagger, Substitute, Cut, Surf, Waterfall, Dive","Tackle, Water Gun, Uproar, Headbutt, Bite, Aqua Jet","Chip Away, Take Down",,Crunch,Aqua Tail,Soak,Double-Edge,Scary Face,Flail,"Final Gambit, Thrash"
902,Basculegion,120,102,65,90,75,78,25,Water,Ghost,Grande,Big,Intermedio,Middleweight,6,lvl,Clads itself in the souls of comrades that perished before fulfilling their goals of journeying upstream. No other species throughout all Hisui's rivers is Basculegion's equal.,"Durante las remontadas de los ríos, se envuelve de las almas de sus congéneres caídos en la ardua travesía. No tiene rival en ninguna de las corrientes que fluyen por la región de Hisui.",Swift Swim,Adaptability,Mold Breaker,50%,"Aqua Tail, Calm Mind, Giga Impact, Hyper Beam, Ice Beam, Ice Fang, Icy Wind, Ominous Wind, Psychic, Rest, Shadow Ball, Swift, Water Pulse, Zen Headbutt","Tackle, Aqua Jet, Bite, Hex",Zen Headbutt,"Crunch, Shadow Ball",,,,,,Double-Edge,
551,Sandile,50,72,35,35,35,65,25,Ground,Dark,Pequeño,Small,Ligero,Lightweight,2,,They live hidden under hot desert sands in order to keep their body temperature from dropping.,Viven en los desiertos y se sumergen en las cálidas arenas para que su temperatura corporal no se reduzca.,Intimidate,Moxie,Anger Point,50%,"Hone Claws, Roar, Toxic, Hidden Power, Taunt, Protect, Frustration, Earthquake, Return, Dig, Double Team, Sludge Bomb, Sandstorm, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Round, Incinerate, Embargo, Payback, Retaliate, Stone Edge, Bulldoze, Rock Slide, Swagger, Substitute, Snarl, Cut","Leer, Rage, Bite, Sand-Attack, Torment, Sand Tomb","Assurance, Mud-Slap",Embargo,Swagger,"Crunch, Dig",Scary Face,Foul Play,Sandstorm,"Earthquake, Thrash",
552,Krokorok,60,82,45,45,45,74,25,Ground,Dark,Pequeño,Small,Ligero,Lightweight,5,lvl,"Protected by thin membranes, their eyes can see even in the dead of night. They live in groups of a few individuals.","Gracias a la película que recubre sus ojos, pueden ver incluso de noche. Viven en pequeñas manadas.",Intimidate,Moxie,Anger Point,50%,"Hone Claws, Roar, Toxic, Hidden Power, Taunt, Protect, Frustration, Earthquake, Return, Dig, Brick Break, Double Team, Sludge Bomb, Sandstorm, Rock Tomb, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Fling, Incinerate, Embargo, Shadow Claw, Payback, Retaliate, Stone Edge, Bulldoze, Rock Slide, Grass Knot, Swagger, Substitute, Rock Smash, Snarl, Cut, Strength","Leer, Rage, Bite, Sand-Attack, Torment, Sand Tomb","Assurance, Mud-Slap",Embargo,Swagger,Crunch,Dig,Scary Face,Foul Play,"Sandstorm, Earthquake",Thrash
553,Krookodile,95,117,70,65,70,92,25,Ground,Dark,Mediano,Medium,Intermedio,Middleweight,8,lvl,"Very violent Pokémon, they try to clamp down on anything that moves in front of their eyes.",Un Pokémon bastante violento. Ataca todo lo que se mueva delante de él con sus mortíferas mandíbulas.,Intimidate,Moxie,Anger Point,50%,"Hone Claws, Dragon Claw, Roar, Toxic, Bulk Up, Hidden Power, Taunt, Hyper Beam, Protect, Frustration, Smack Down, Earthquake, Return, Dig, Brick Break, Double Team, Sludge Bomb, Sandstorm, Rock Tomb, Aerial Ace, Torment, Facade, Rest, Attract, Thief, Low Sweep, Round, Focus Blast, Fling, Incinerate, Embargo, Shadow Claw, Payback, Retaliate, Giga Impact, Stone Edge, Bulldoze, Rock Slide, Dragon Tail, Grass Knot, Swagger, Substitute, Rock Smash, Snarl, Cut, Strength","Leer, Rage, Bite, Sand-Attack, Torment, Sand Tomb","Assurance, Mud-Slap",Embargo,Swagger,Crunch,Dig,Scary Face,,"Foul Play, Sandstorm","Earthquake, Outrage"
554,Darumaka,70,90,45,15,45,50,25,Fire,,Pequeño,Small,Ligero,Lightweight,2,,"When it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100° F.","Cuando se dispone a dormir, retrae sus piernas y sus brazos, y reduce la llama de su interior a 600 grados para relajarse.",Hustle,Hustle,Inner Focus,50%,"Roar, Toxic, Hidden Power, Sunny Day, Taunt, Protect, Frustration, SolarBeam, Return, Dig, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Facade, Flame Charge, Rest, Attract, Thief, Round, Overheat, Fling, Incinerate, Will-O-Wisp, Gyro Ball, Rock Slide, Work Up, Grass Knot, Swagger, U-turn, Substitute, Rock Smash, Strength","Tackle, Rollout, Incinerate, Rage, Fire Fang, Headbutt","Uproar, Facade",Fire Punch,"Work Up, Thrash",Belly Drum,"Flare Blitz, Taunt",Superpower,,Overheat,
555,Darmanitan,105,140,55,30,55,95,25,Fire,,Mediano,Medium,Intermedio,Middleweight,7,lvl,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind.","Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",Sheer Force,Sheer Force,Zen Mode,50%,"Roar, Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Frustration, SolarBeam, Smack Down, Earthquake, Return, Dig, Psychic, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Torment, Facade, Flame Charge, Rest, Attract, Thief, Round, Overheat, Focus Blast, Fling, Incinerate, Will-O-Wisp, Payback, Giga Impact, Stone Edge, Gyro Ball, Bulldoze, Rock Slide, Work Up, Grass Knot, Swagger, U-turn, Substitute, Rock Smash, Strength","Tackle, Rollout, Incinerate, Rage, Fire Fang, Headbutt","Uproar, Facade",Fire Punch,"Work Up, Thrash",Belly Drum,"Flare Blitz, Hammer Arm",Taunt,,Superpower,Overheat
555.1,Darmanitan (Z),105,30,105,140,105,55,25,Fire,Psychic,Mediano,Medium,Intermedio,Middleweight,7,,"When one is injured in a fierce battle, it hardens into a stone-like form. Then it meditates and sharpens its mind.","Cuando resulta gravemente herido, se endurece como una piedra y medita para agudizar la mente.",Zen Mode,Zen Mode,Zen Mode,50%,"Roar, Toxic, Bulk Up, Hidden Power, Sunny Day, Taunt, Hyper Beam, Protect, Frustration, SolarBeam, Smack Down, Earthquake, Return, Dig, Psychic, Brick Break, Double Team, Flamethrower, Fire Blast, Rock Tomb, Torment, Facade, Flame Charge, Rest, Attract, Thief, Round, Overheat, Focus Blast, Fling, Incinerate, Will-O-Wisp, Payback, Giga Impact, Stone Edge, Gyro Ball, Bulldoze, Rock Slide, Work Up, Grass Knot, Swagger, U-turn, Substitute, Rock Smash, Strength","Tackle, Rollout, Incinerate, Rage, Fire Fang, Headbutt","Uproar, Facade",Fire Punch,"Work Up, Thrash",Belly Drum,"Flare Blitz, Hammer Arm",Taunt,,,
