Name,Nombre,Type,Theme,Cat,PP,Att,Appeal,Acc,Effect,Efecto
Flamethrower,Lanzallamas,Fire,Beautiful,Special,25,2d8,4,0,Throw 1d10 and if the result is equal to 1 it will burn opponent.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente.
Flare Blitz,Envite ígneo,Fire,Cool,Physical,25,2d12,7,0,User receives 2d4 damage. 1d10 and if the result is equal to 1 it will burn opponent.,El usuario recibe 2d4 de daño. 1d10 y si el resultado es igual a 1 quemará al oponente.
Flash,Destello,Normal,Beautiful,Other,20,--,3,0,Reduces -25 to opponent's accuracy.,Reduce -25 a la precisión del oponente.
Flash Cannon,Foco resplandor,Steel,Beautiful,Special,30,3d4,4,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Flatter,Camelo,Dark,Clever,Other,25,--,2,0,"Confuses opponent, but adds +25 to its special attack.","Confunde al oponente, pero añade +25 a su ataque especial."
Fling,Lanzamiento,Dark,Cute,Physical,30,1d10,3,0,User loses their held item.,El usuario pierde el artículo que retiene.
Fly,Vuelo,Flying,Clever,Physical,25,2d8,2,-5,"Flies up on first round, attacks on second round.","Vuela hacia arriba en el primer asalto, ataca en el segundo asalto."
Focus Blast,Onda certera,Fight,Cool,Special,35,2d12,4,-30,Throw 1d10 and if the result is equal or less than 3 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual o menor a 3 bajará la defensa especial del oponente.
Focus Energy,Foco energía,Normal,Cool,Other,10,--,1,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll on the next move.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque de 1d100 en el siguiente movimiento.
Focus Punch,Puño certero,Fight,Tough,Physical,20,3d10,2,0,"If the user is hit before attacking, it flinches instead.","Si el usuario es golpeado antes de atacar, se estremece."
Follow Me,Señuelo,Normal,Cute,Other,20,--,3,0,The user becomes the target to all opponents' attacks for a round.,El usuario se convierte en el objetivo de todos los ataques de los oponentes durante una ronda.
Force Palm,Palmeo,Fight,Cool,Physical,30,1d12,4,0,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente.
Foresight,Profecía,Normal,Clever,Other,1,--,2,0,"Resets opponent's evasiveness, and allows normal- and fighting-type attacks to hit ghosts.",Restablece la evasión del oponente y permite que los ataques normales y de lucha golpeen a los fantasmas.
Foul Play,Juego sucio,Dark,Clever,Physical,25,2d8,1,0,Uses the opponent's attack stat.,Utiliza la estadística de ataque del oponente.
Freeze Shock,Rayo gélido,Ice,Beautiful,Physical,35,3d8,3,-10,"Charges on first round, attacks on second. Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.","Cargas en el primer asalto, ataques en el segundo. Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente."
Frenzy Plant,Planta feroz,Grass,Cool,Special,35,3d10,4,-10,User must recharge next round.,El usuario debe recargar la siguiente ronda.
Frost Breath,Vaho gélido,Ice,Beautiful,Special,30,2d4,4,-10,Always results in a critical hit.,Siempre resulta en un golpe crítico.
Frustration,Frustración,Normal,Cute,Physical,20,6d6,2,0,Power decreases by 1d6 with every level up done with the trainer (max decrease of 5d6).,El poder disminuye en 1d6 con cada nivel que se realiza con el entrenador (disminución máxima de 5d6).
Fury Attack,Ataque furia,Normal,Cool,Physical,20,1d2,1,-15,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Fury Cutter,Corte furia,Bug,Cool,Physical,20,1d4,3,-5,Add 1d4 for each consecutive time hit after the first one.,Añade 1d4 por cada golpe consecutivo después del primero.
Fury Swipes,Golpes furia,Normal,Tough,Physical,25,1d2,1,-20,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Fusion Bolt,Rayo fusión,Electr,Cool,Physical,35,2d10,1,0,Add 1d10 damage if fusion flare is used in the same turn.,Añade 1d10 de daño si se usa una bengala de fusión en el mismo turno.
Fusion Flare,Llama fusión,Fire,Beautiful,Special,35,2d10,1,0,Add 1d10 damage if fusion bolt is used in the same turn.,Añade 1d10 de daño si se usa el perno de fusión en el mismo turno.
Future Sight,Premonición,Psychc,Clever,Special,30,2d10,2,0,Damage occurs 2 turns later.,El daño ocurre 2 turnos después.
Gastro Acid,Bilis,Poison,Tough,Other,30,--,3,0,Cancels out the effect of the opponent's ability.,Anula el efecto de la habilidad del oponente.
Gear Grind,Rueda doble,Steel,Clever,Physical,25,1d10,4,-15,Attemps to hit twice in one turn.,Intenta golpear dos veces en un turno.
Giga Drain,Gigadrenado,Grass,Clever,Special,30,3d4,1,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Giga Impact,Gigaimpacto,Normal,Tough,Physical,35,3d10,4,-10,User must recharge next turn.,El usuario debe recargar el próximo turno.
Glaciate,Mundo gélido,Ice,Beautiful,Special,30,2d6,3,-5,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Glare,Deslumbrar,Normal,Tough,Other,10,--,1,-10,Paralyzes opponent.,Paraliza al oponente.
Grass Knot,Hierba lazo,Grass,Cute,Special,20,--,1,0,"For every stage of weight the opponent has, add +1d12 to the attack's damage.","Por cada nivel de peso que tenga el oponente, suma +1d12 al daño del ataque."
Grass Pledge,Voto planta,Grass,Beautiful,Special,30,1d10,2,0,If combined with water pledge or fire pledge does +1d10 and uses the best effectiveness of the used attacks.,"Si se combina con promesa de agua o promesa de fuego, genera +1d10 y utiliza la mejor efectividad de los ataques utilizados."
Grass whistle,Silbato,Grass,Clever,Other,25,--,2,-45,Puts opponent to sleep.,Pone a dormir al oponente.
Gravity,Gravedad,Psychc,Clever,Other,35,--,2,0,Prevents moves like fly and bounce and the ability levitate for 5 turns.,Previene movimientos como volar y rebotar y la habilidad de levitar durante 5 turnos.
Growl,Gruñido,Normal,Cute,Other,1,--,2,0,Reduces -25 to opponent's attack.,Reduce -25 al ataque del oponente.
Growth,Desarrollo,Normal,Beautiful,Other,1,--,1,0,Adds +25 to user's attack and special attack.,Agrega +25 al ataque del usuario y al ataque especial.
Grudge,Rabia,Ghost,Tough,Other,35,--,4,0,"If the users faints after using this move, the pp for the opponent is depleted for 1d2 rounds.","Si el usuario se desmaya después de usar este movimiento, los pp del oponente se agotan durante 1d2 rondas."
Guard Split,Isoguardia,Psychc,Clever,Other,30,--,1,0,Averages defense and special defense with the target.,Defensa media y defensa especial con la diana.
Guard Swap,Cambiadefensa,Psychc,Clever,Other,30,--,1,0,User and opponent swap defense and special defense.,Usuario y oponente intercambian defensa y defensa especial.
Guillotine,Guillotina,Normal,Cool,Physical,35,--,2,-70,"One-hit-ko, if it hits.","One-hit-ko, si acierta."
Gunk Shot,Lanzamugre,Poison,Tough,Physical,35,2d12,2,-30,Throw 1d10 and if the result is equal or less than 3 it will poison opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 envenenará al oponente.
Gust,Tornado,Flying,Clever,Special,5,2d4,2,0,Hits pokémon using fly/bounce/sky drop with double power.,Golpea a Pokémon usando volar/rebotar/caer al cielo con doble potencia.
Gyro Ball,Giro bola,Steel,Cool,Physical,35,--,1,0,Add 15-mspe to the attack damage. Cannot be less than 0.,Añade 15 mspe al daño del ataque. No puede ser menor que 0.
Hail,Granizo,Ice,Beautiful,Other,30,--,2,0,Non-ice types are damaged for 5 turns.,Los tipos que no son de hielo se dañan durante 5 turnos.
Hammer Arm,Machada,Fight,Tough,Physical,30,2d10,6,-10,Reduces -25 to user's speed.,Reduce -25 a la velocidad del usuario.
Harden,Fortaleza,Normal,Tough,Other,10,--,2,0,Adds +25 to user's defense.,Agrega +25 a la defensa del usuario.
Haze,Niebla,Ice,Beautiful,Other,10,--,3,0,Resets all stat changes.,Restablece todos los cambios de estadísticas.
Head Charge,Ariete,Normal,Tough,Physical,25,2d12,6,0,User receives 1d6 recoil damage.,El usuario recibe 1d6 de daño por retroceso.
Head Smash,Testarazo,Rock,Tough,Physical,35,3d10,6,-20,User receives 3d4 recoil damage.,El usuario recibe 3d4 de daño por retroceso.
Headbutt,Golpe cabeza,Normal,Tough,Physical,25,3d4,4,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Heal Bell,Cascabel cura,Normal,Beautiful,Other,35,--,1,0,Heals the user's party's status conditions.,Cura las condiciones de estado del grupo del usuario.
Heal Block,Anticura,Psychc,Clever,Other,25,--,3,0,Prevents the opponent from restoring HP for 5 turns.,Impide que el oponente recupere HP durante 5 turnos.
Heal Order,Auxilio,Bug,Clever,Other,30,--,2,0,User recovers half its maximum HP.,El usuario recupera la mitad de su hp máximo.
Heal Pulse,Pulso cura,Psychc,Beautiful,Other,30,--,2,0,Restores half the target's maximum HP.,Restaura la mitad del HP máximo del objetivo.
Healing Wish,Deseo cura,Psychc,Beautiful,Other,30,--,7,0,The user faints and the next pokémon released is fully healed.,El usuario se desmaya y el siguiente pokémon liberado queda completamente curado.
Heart Stamp,Arrumaco,Psychc,Cute,Physical,15,1d12,3,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Heart Swap,Cambiaalmas,Psychc,Clever,Other,30,--,1,0,Stat changes are swapped with the opponent.,Los cambios de estadísticas se intercambian con los del oponente.
Heat Crash,Golpe calor,Fire,Tough,Physical,30,--,3,0,"For every stage of weight the opponent has, add +1d12 to the attack's damage.","Por cada nivel de peso que tenga el oponente, suma +1d12 al daño del ataque."
Heat Wave,Onda ígnea,Fire,Beautiful,Special,30,2d10,2,-10,Throw 1d10 and if the result is equal to 1 it will burn opponent. Hits all opposing pokémon in range.,Lanza 1d10 y si el resultado es igual a 1 quemará al oponente. Golpea a todos los Pokémon enemigos dentro de su alcance.
Heavy Slam,Cuerpo pesado,Steel,Tough,Physical,30,--,3,0,"For every stage of weight the opponent has, add +1d12 to the attack's damage.","Por cada nivel de peso que tenga el oponente, suma +1d12 al daño del ataque."
Helping Hand,Refuerzo,Normal,Clever,Other,20,--,4,0,Doubles the power of the partner's move.,Duplica el poder del movimiento del compañero.
Hex,Infortunio,Ghost,Clever,Special,30,1d10,2,0,Inflicts double damage if the target has a status condition.,Inflige el doble de daño si el objetivo tiene una condición de estado.
Hidden Power,Poder oculto,Normal,Clever,Special,25,1d12,3,0,"Each time attacking, select the type by throwing 1d20; 1:bug 2:electric 3:flying 4:ground 5:poison 6:steel 7:dark 8:fight 9:ghost 10:ice 11:psychic 12:water 13:dragon 14:fire 15:grass 16:normal 17:rock 19-20 reroll.","Cada vez que ataques, selecciona el tipo lanzando 1d20; 1: error 2: eléctrico 3: vuelo 4: tierra 5: veneno 6: acero 7: oscuro 8: lucha 9: fantasma 10: hielo 11: psíquico 12: agua 13: dragón 14: fuego 15: hierba 16: normal 17: roca 19-20 reroll."
High Jump Kick,Patada salto alta,Fight,Cool,Physical,30,3d8,7,-10,"If it misses, the user loses half their HP.","Si falla, el usuario pierde la mitad de su HP."
Hone Claws,Afilagarras,Dark,Cute,Other,25,--,1,0,Adds +25 to user's attack and accuracy.,Agrega +25 al ataque y precisión del usuario.
Horn Attack,Cornada,Normal,Cool,Physical,15,2d6,4,0,,
Horn Drill,Perforador,Normal,Cool,Physical,35,--,2,-70,"One-hit-ko, if it hits.","One-hit-ko, si acierta."
Horn Leech,Asta drenaje,Grass,Tough,Physical,30,3d4,1,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Howl,Aullido,Normal,Cool,Other,1,--,2,0,Adds +25 to attack of allies.,Agrega +25 al ataque de los aliados.
Hurricane,Vendaval,Flying,Tough,Special,30,2d12,2,-30,Throw 1d10 and if the result is equal or less than 3 it will confuse opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 confundirá al oponente.
Hydro Cannon,Hidrocañón,Water,Beautiful,Special,35,3d10,4,-10,User must recharge next turn.,El usuario debe recargar el próximo turno.
Hydro Pump,Hidrobomba,Water,Beautiful,Special,35,2d12,1,-20,,
Hyper Beam,Hiperrayo,Normal,Cool,Special,35,3d10,4,-10,User must recharge next turn.,El usuario debe recargar el próximo turno.
Hyper Fang,Hipercolmillo,Normal,Cool,Physical,25,3d4,3,-10,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Hyper Voice,Vozarrón,Normal,Cool,Special,30,2d8,2,0,,
Hypnosis,Hipnosis,Psychc,Clever,Other,20,--,1,-40,Puts opponent to sleep.,Pone a dormir al oponente.
Ice Ball,Bola hielo,Ice,Beautiful,Physical,20,1d6,3,-10,"Adds 1d6 each turn for 5 rounds, cannot use another move or not use moves each round until finishing the 5 rounds or missing any attack.","Agrega 1d6 cada turno durante 5 rondas, no puede usar otro movimiento o no usar movimientos en cada ronda hasta terminar las 5 rondas o fallar algún ataque."
Ice Beam,Rayo hielo,Ice,Beautiful,Special,30,2d8,1,0,Throw 1d10 and if the result is equal to 1 it will freeze opponent.,Lanza 1d10 y si el resultado es igual a 1 congelará al oponente.
Ice Burn,Llama gélida,Ice,Beautiful,Special,35,3d8,3,-10,"Charges on first round, attacks on second. Throw 1d10 and if the result is equal or less than 3 it will burn opponent.","Cargas en el primer asalto, ataques en el segundo. Lanza 1d10 y si el resultado es igual o menor que 3 quemará al oponente."
Ice Fang,Colmillo hielo,Ice,Cool,Physical,25,2d6,4,-5,"Throw 1d10 and if the result is equal to 1 it will freeze opponent, and other throw 1d10 and if the result is equal or less than 3 it will cause flinching","Lanza 1d10 y si el resultado es igual o menor a 1 congelará al oponente, y otros lanzan 1d10 y si el resultado es igual o menor a 3 provocará que se estremezca."
Ice Punch,Puño hielo,Ice,Beautiful,Physical,25,3d4,4,0,throw 1d10 and if the result is equal to 1 it will freeze opponent.,lanza 1d10 y si el resultado es igual a 1 congelará al oponente.
Ice Shard,Esquirla helada,Ice,Beautiful,Physical,10,2d4,3,0,"User may use this move before opponent's moves, counting as an action for next user's turn.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario."
Icicle Crash,Chuzos,Ice,Beautiful,Physical,30,2d8,3,-10,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Icicle Spear,Carámbano,Ice,Beautiful,Physical,10,1d4,1,0,Attemps to hit 1d4+1 times in one turn.,Intenta acertar 1d4+1 veces en un turno.
Icy Wind,Viento hielo,Ice,Beautiful,Special,25,1d10,4,-5,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Imprison,Sellar,Psychc,Clever,Other,30,--,3,0,Opponent is unable to use moves that the user also knows.,El oponente no puede utilizar movimientos que el usuario también conozca.
Incinerate,Calcinación,Fire,Tough,Special,25,1d6,3,0,Destroys the target's held berry.,Destruye la baya retenida por el objetivo.
Inferno,Infierno,Fire,Beautiful,Special,35,2d10,1,-50,Burns opponent.,Quema al oponente.
Ingrain,Arraigo,Grass,Clever,Other,20,--,1,0,User restores HP each turn. User cannot escape/switch.,El usuario restaura hp en cada turno. El usuario no puede escapar/cambiar.
Iron Defense,Defensa férrea,Steel,Tough,Other,25,--,1,0,Adds +33 to user's defense.,Agrega +33 a la defensa del usuario.
Iron Head,Cabeza de hierro,Steel,Tough,Physical,25,3d4,4,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Iron Tail,Cola férrea,Steel,Cool,Physical,25,2d10,4,-25,Throw 1d10 and if the result is equal or less than 2 it will lower opponent's defense.,Lanza 1d10 y si el resultado es igual o menor a 2 bajará la defensa del oponente.
Judgment,Sentencia,Normal,Beautiful,Special,30,2d10,3,0,Type depends on the arceus plate being held.,El tipo depende de la placa de arceus que se esté sosteniendo.
Jump Kick,Patada salto,Fight,Cool,Physical,30,2d10,7,-5,"If it misses, the user loses half their HP.","Si falla, el usuario pierde la mitad de su HP."
Karate Chop,Golpe kárate,Fight,Tough,Physical,15,1d10,4,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Kinesis,Kinético,Psychc,Clever,Other,25,--,3,-20,Reduces -25 to opponent's accuracy.,Reduce -25 a la precisión del oponente.
Knock Off,Desarme,Dark,Clever,Physical,20,1d4,2,0,Removes opponent's held item for the rest of the battle.,Elimina el objeto retenido por el oponente por el resto de la batalla.
Last Resort,Última baza,Normal,Cute,Physical,35,3d8,1,0,Can only be used before user's next round.,Solo se puede usar antes de la siguiente ronda del usuario.
Lava Plume,Humareda,Fire,Tough,Special,25,3d4,2,0,Throw 1d10 and if the result is equal or less than 3 it will burn opponent. Hits all pokémon in range.,Lanza 1d10 y si el resultado es igual o menor que 3 quemará al oponente. Golpea a todos los pokémon dentro del alcance.
Leaf Blade,Hoja aguda,Grass,Cool,Physical,25,2d8,3,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Leaf Storm,Lluevehojas,Grass,Beautiful,Special,35,3d8,6,-10,Reduces -50 to the user's special attack.,Reduce -50 al ataque especial del usuario.
Leaf Tornado,Ciclón de hojas,Grass,Cool,Special,30,2d6,3,-10,Throw 1d10 and if the result is equal to 1 it will lower opponent's accuracy.,Lanza 1d10 y si el resultado es igual a 1 disminuirá la precisión del oponente.
Leech Life,Chupavidas,Bug,Clever,Physical,25,1d4,1,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Leech Seed,Drenadoras,Grass,Clever,Other,30,--,1,-10,"Drains HP from opponent each turn equal to user's mspa or matt, wichever is greater.","Drena HP del oponente en cada turno igual al mspa o matt del usuario, lo que sea mayor."
Leer,Malicioso,Normal,Cool,Other,10,--,2,0,Reduces -25 to opponent's defense.,Reduce -25 a la defensa del oponente.
Lick,Lengüetazo,Ghost,Cute,Physical,10,1d4,2,0,Throw 1d10 and if the result is equal or less than 3 it will paralyze opponent.,Lanza 1d10 y si el resultado es igual o menor que 3 paralizará al oponente.
Light Screen,Pantalla de luz,Psychc,Beautiful,Other,10,--,2,0,Halves damage from special attacks for 5 turns.,Reduce a la mitad el daño de los ataques especiales durante 5 turnos.
Lock-on,Fijar blanco,Normal,Clever,Other,35,--,3,0,User's next attack is guaranteed to hit.,Se garantiza que el próximo ataque del usuario acertará.
Lovely Kiss,Beso amoroso,Normal,Beautiful,Other,30,--,4,-25,Puts opponent to sleep.,Pone a dormir al oponente.
Low Kick,Patada baja,Fight,Tough,Physical,20,--,1,0,"For every stage of weight the opponent has, add +1d12 to the attack's damage.","Por cada nivel de peso que tenga el oponente, suma +1d12 al daño del ataque."
Low Sweep,Puntapié,Fight,Clever,Physical,20,1d12,2,0,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Lucky Chant,Conjuro,Normal,Cute,Other,10,--,1,0,Opponent cannot land critical hits for 5 turns.,El oponente no puede asestar golpes críticos durante 5 turnos.
Lunar Dance,Danza lunar,Psychc,Beautiful,Other,30,--,7,0,The user faints but the next pokémon released is fully healed.,El usuario se desmaya pero el siguiente Pokémon liberado está completamente curado.
Luster Purge,Resplandor,Psychc,Clever,Special,35,3d4,2,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special defense.,Lanza 1d10 y si el resultado es igual a 1 bajará la defensa especial del oponente.
Mach Punch,Ultrapuño,Fight,Cool,Physical,10,2d4,3,0,"User may use this move before opponent's moves, counting as an action for next user's turn.","El usuario puede usar este movimiento antes de los movimientos del oponente, contando como una acción para el turno del siguiente usuario."
Magic Coat,Capa mágica,Psychc,Beautiful,Other,25,--,2,0,Reflects moves that cause status conditions back to the attacker.,Refleja movimientos que causan condiciones de estado al atacante.
Magic Room,Zona mágica,Psychc,Clever,Other,30,--,3,0,Suppresses the effects of held items for five turns.,Suprime los efectos de los objetos retenidos durante cinco turnos.
Magical Leaf,Hoja mágica,Grass,Beautiful,Special,20,1d12,2,0,Ignores defenses.,Ignora las defensas.
Magma Storm,Lluvia ígnea,Fire,Tough,Special,35,2d12,3,-25,"Traps opponent, damaging them for 3+1d2 turns.",Atrapa al oponente y lo daña durante 3+1d2 turnos.
Magnet Bomb,Bomba imán,Steel,Cool,Physical,20,1d12,2,0,Ignores defenses.,Ignora las defensas.
Magnet Rise,Levitón,Electr,Clever,Other,30,--,2,0,User becomes immune to ground-type moves for 5 turns.,El usuario se vuelve inmune a los movimientos de tipo terrestre durante 5 turnos.
Magnitude,Magnitud,Ground,Tough,Physical,10,--,1,0,"Hits with xd4, where x is set with 1d10.","Golpea con xd4, donde x se establece con 1d10."
Me First,Yo primero,Normal,Clever,Other,20,--,3,0,User copies the opponent's attack with 1.5× power.,"El usuario copia el ataque del oponente con 1,5 × de poder."
Mean Look,Mal de ojo,Normal,Beautiful,Other,35,--,2,0,Opponent cannot flee or switch.,El oponente no puede huir ni cambiar.
Meditate,Meditación,Psychc,Beautiful,Other,1,--,1,0,Adds +25 to user's attack.,Agrega +25 al ataque del usuario.
Mega Drain,Megaagotar,Grass,Clever,Special,25,2d4,2,0,User recovers half the HP inflicted on opponent.,El usuario recupera la mitad de los hp infligidos al oponente.
Mega Kick,Megapatada,Normal,Cool,Physical,35,2d12,1,-25,,
Mega Punch,Megapuño,Normal,Tough,Physical,20,3d4,3,-15,,
Megahorn,Megacuerno,Bug,Cool,Physical,30,2d12,3,-15,,
Memento,Legado,Dark,Tough,Other,30,--,7,0,"User faints, reduces -50 to the opponent's attack and special attack.","El usuario se desmaya, reduce -50 al ataque del oponente y al ataque especial."
Metal Burst,Represión metal,Steel,Cool,Physical,30,--,2,0,Deals damage equal to 1.5x opponent's attack.,"Inflige un daño equivalente a 1,5 veces el ataque del oponente."
Metal Claw,Garra metal,Steel,Cool,Physical,5,1d10,4,-5,Throw 1d10 and if the result is equal to 1 it will raise user's attack.,Lanza 1d10 y si el resultado es igual a 1 aumentará el ataque del usuario.
Metal Sound,Eco metálico,Steel,Clever,Other,1,--,1,-15,Reduces -50 to the opponent's special defense.,Reduce -50 a la defensa especial del oponente.
Meteor Mash,Puño meteoro,Steel,Cool,Physical,30,2d10,3,-15,Throw 1d10 and if the result is equal or less than 2 it will raise user's attack.,Lanza 1d10 y si el resultado es igual o menor que 2 aumentará el ataque del usuario.
Metronome,Metrónomo,Normal,Cute,Other,30,--,1,0,"Throw 10d100, user performes the move in the position of the result. If number greater than the number of moves, start again from the last number set. If maximum possible with the throw does not reach the number of moves, add 1d100 until maximum possible is greater than the number of moves.","Lanza 10d100, el usuario realiza el movimiento en la posición del resultado. Si el número es mayor que el número de movimientos, comience nuevamente desde el último número establecido. Si el máximo posible con el lanzamiento no llega al número de movimientos, suma 1d100 hasta que el máximo posible sea mayor que el número de movimientos."
Milk Drink,Batido,Normal,Cute,Other,30,--,2,0,User recovers half its maximum HP.,El usuario recupera la mitad de su hp máximo.
Mimic,Mimético,Normal,Cute,Other,30,--,1,0,Copies the opponent's last move.,Copia el último movimiento del oponente.
Mind Reader,Telépata,Normal,Clever,Other,35,--,3,0,User's next attack ignores defenses.,El próximo ataque del usuario ignora las defensas.
Minimize,Reducción,Normal,Cute,Other,20,--,1,0,Adds +33 to user's evasiveness.,Agrega +33 a la evasión del usuario.
Miracle Eye,Gran ojo,Psychc,Clever,Other,1,--,2,0,"Resets opponent's evasiveness, removes dark's psychic immunity.",Restablece la evasión del oponente y elimina la inmunidad psíquica de Dark.
Mirror Coat,Manto espejo,Psychc,Beautiful,Special,20,--,2,0,"When hit by a special attack, user strikes back with 2x power.","Cuando es golpeado por un ataque especial, el usuario contraataca con el doble de poder."
Mirror Move,Espejo,Flying,Clever,Other,20,--,1,0,User performs the opponent's last move.,El usuario realiza el último movimiento del oponente.
Mirror Shot,Disparo espejo,Steel,Beautiful,Special,30,2d6,2,-15,Throw 1d10 and if the result is equal to 1 it will lower opponent's accuracy.,Lanza 1d10 y si el resultado es igual a 1 disminuirá la precisión del oponente.
Mist,Neblina,Ice,Beautiful,Other,10,--,1,0,User's stats cannot be changed for 1d4+2 rounds.,Las estadísticas del usuario no se pueden cambiar durante 1d4+2 rondas.
Mist Ball,Bola neblina,Psychc,Clever,Special,35,3d4,2,0,Throw 1d10 and if the result is equal to 1 it will lower opponent's special attack.,Lanza 1d10 y si el resultado es igual a 1 bajará el ataque especial del oponente.
Moonlight,Luz lunar,Normal,Beautiful,Other,35,--,1,0,"User recovers HP. 1D8, doubled if during clear night, halved during any weather condition.","El usuario recupera hp. 1D8, duplicado si es durante una noche despejada, reducido a la mitad durante cualquier condición climática."
Morning Sun,Sol matinal,Normal,Beautiful,Other,35,--,1,0,"User recovers HP. 1D8, doubled if during clear day, halved during any weather condition.","El usuario recupera hp. 1D8, duplicado si es durante un día despejado, reducido a la mitad durante cualquier condición climática."
Mud Bomb,Bomba fango,Ground,Cute,Special,30,2d6,2,-15,Throw 1d10 and if the result is equal to 1 it will lower opponent's accuracy.,Lanza 1d10 y si el resultado es igual a 1 disminuirá la precisión del oponente.
Mud Shot,Disparo lodo,Ground,Tough,Special,25,1d10,4,-5,Reduces -25 to opponent's speed.,Reduce -25 a la velocidad del oponente.
Mud Sport,Chapoteo lodo,Ground,Cute,Other,25,--,2,0,Halves the power of electric-type moves.,Reduce a la mitad la potencia de los movimientos de tipo eléctrico.
Mud-slap,Bofetón lodo,Ground,Cute,Special,30,1d4,2,0,Reduces -25 to opponent's accuracy.,Reduce -25 a la precisión del oponente.
Muddy Water,Agua lodosa,Water,Tough,Special,30,2d8,2,-15,"Throw 1d10, if 3 it will lower opponent's accuracy. Hits all opposing pokémon in range.","Lanza 1d10, si es 3 reducirá la precisión del oponente. Golpea a todos los Pokémon enemigos dentro de su alcance."
Nasty Plot,Maquinación,Dark,Clever,Other,20,--,1,0,Adds +33 to user's special attack.,Agrega +33 al ataque especial del usuario.
Natural Gift,Don natural,Normal,Clever,Physical,25,3d4,1,0,No damage done if user is not holding a berry.,No se producen daños si el usuario no sostiene una baya.
Nature Power,Adaptación,Normal,Beautiful,Other,20,--,1,0,"Uses a certain move based on the current terrain; urban:Tri Attack, sand:Earthquake, cave:Rock Slide, grass:Seed Bomb, water:Hydro Pump, snow:Ice Beam.","Utiliza un movimiento determinado según el terreno actual; urbano:Tri Attack, arena:Terremoto, cueva:Rock Slide, hierba:Seed Bomb, agua:Hydro Pump, nieve:Ice Beam."
Needle Arm,Brazo pincho,Grass,Clever,Physical,25,1d12,4,0,Throw 1d10 and if the result is equal or less than 3 it will cause flinching.,Lanza 1d10 y si el resultado es igual o menor que 3 provocará un estremecimiento.
Night Daze,Pulso noche,Dark,Cool,Special,30,2d8,3,-5,Throw 1d10 and if the result is equal or less than 2 it will lower opponent's accuracy.,Lanza 1d10 y si el resultado es igual o menor que 2 disminuirá la precisión del oponente.
Night Shade,Tinieblas,Ghost,Clever,Special,25,--,3,0,Inflicts damage equal to double the user's level.,Inflige daño equivalente al doble del nivel del usuario.
Night Slash,Tajo umbrío,Dark,Cool,Physical,25,3d4,3,0,Critical hit with 25 more than defense or with 80 or more in the 1d100 attack roll.,Golpe crítico con 25 más que defensa o con 80 o más en la tirada de ataque 1d100.
Nightmare,Pesadilla,Ghost,Clever,Other,25,--,1,0,Sleeping opponent loses 25% of its maximum HP each turn.,El oponente dormido pierde el 25% de su HP máximo cada turno.
